"Markettype","Trdmnt","Cmretwdos"
"5","1994-06","-0.168819"
"5","1994-07","-0.252664"
"5","1994-08","1.080105"
"5","1994-09","0.057563"
"5","1994-10","-0.193333"
"5","1994-11","0.027751"
"5","1994-12","-0.055188"
"5","1995-01","-0.116298"
"5","1995-02","-0.014059"
"5","1995-03","0.130882"
"5","1995-04","-0.104304"
"5","1995-05","0.175455"
"5","1995-06","-0.086022"
"5","1995-07","0.068390"
"5","1995-08","0.049759"
"5","1995-09","-0.005542"
"5","1995-10","0.009481"
"5","1995-11","-0.082806"
"5","1995-12","-0.116272"
"5","1996-01","-0.037138"
"5","1996-02","0.034017"
"5","1996-03","0.008209"
"5","1996-04","0.339096"
"5","1996-05","-0.005754"
"5","1996-06","0.212278"
"5","1996-07","0.162216"
"5","1996-08","0.008632"
"5","1996-09","0.061561"
"5","1996-10","0.223615"
"5","1996-11","0.097325"
"5","1996-12","-0.177525"
"5","1997-01","0.088162"
"5","1997-02","0.058004"
"5","1997-03","0.205534"
"5","1997-04","0.123052"
"5","1997-05","-0.086920"
"5","1997-06","0.013935"
"5","1997-07","-0.070068"
"5","1997-08","-0.010383"
"5","1997-09","-0.112051"
"5","1997-10","0.141814"
"5","1997-11","-0.048110"
"5","1997-12","0.051044"
"5","1998-01","0.024513"
"5","1998-02","-0.022915"
"5","1998-03","0.021731"
"5","1998-04","0.089560"
"5","1998-05","0.054468"
"5","1998-06","-0.061762"
"5","1998-07","-0.012984"
"5","1998-08","-0.121413"
"5","1998-09","0.073882"
"5","1998-10","-0.010053"
"5","1998-11","0.023326"
"5","1998-12","-0.083139"
"5","1999-01","-0.005931"
"5","1999-02","-0.043227"
"5","1999-03","0.064716"
"5","1999-04","-0.035909"
"5","1999-05","0.115814"
"5","1999-06","0.363823"
"5","1999-07","-0.064251"
"5","1999-08","0.007129"
"5","1999-09","-0.024507"
"5","1999-10","-0.048001"
"5","1999-11","-0.043764"
"5","1999-12","-0.048662"
"5","2000-01","0.160838"
"5","2000-02","0.122024"
"5","2000-03","0.055926"
"5","2000-04","0.013014"
"5","2000-05","0.027691"
"5","2000-06","0.023721"
"5","2000-07","0.043245"
"5","2000-08","-0.004691"
"5","2000-09","-0.045222"
"5","2000-10","0.024222"
"5","2000-11","0.054174"
"5","2000-12","-0.002105"
"5","2001-01","-0.010399"
"5","2001-02","-0.059406"
"5","2001-03","0.075913"
"5","2001-04","-0.005454"
"5","2001-05","0.035145"
"5","2001-06","0.002810"
"5","2001-07","-0.132502"
"5","2001-08","-0.035222"
"5","2001-09","-0.052001"
"5","2001-10","-0.048524"
"5","2001-11","0.038675"
"5","2001-12","-0.062743"
"5","2002-01","-0.107725"
"5","2002-02","0.028367"
"5","2002-03","0.066092"
"5","2002-04","0.039324"
"5","2002-05","-0.085132"
"5","2002-06","0.132984"
"5","2002-07","-0.040172"
"5","2002-08","0.006221"
"5","2002-09","-0.055632"
"5","2002-10","-0.051183"
"5","2002-11","-0.062693"
"5","2002-12","-0.051492"
"5","2003-01","0.095492"
"5","2003-02","0.009710"
"5","2003-03","-0.013132"
"5","2003-04","-0.012054"
"5","2003-05","0.043905"
"5","2003-06","-0.066905"
"5","2003-07","-0.012312"
"5","2003-08","-0.031089"
